https://www.evernote.com/shard/s21/nl/2425275/a37b1d2e-e4aa-48c1-b2e2-b533ca7fa56d , EnumLocales , 
https://www.evernote.com/shard/s21/nl/2425275/b8ba8d42-fd2e-4497-8bf9-da13309ad0a4 , EQSnVAR , 等号与变量的含义
https://www.evernote.com/shard/s21/nl/2425275/43f3f1be-b36c-4765-8634-b910aa9f5e67 , Ev6Rescue , Evernote v6 离线使用主题
https://www.evernote.com/shard/s21/nl/2425275/3c0fdb0d-3753-43d9-ab65-d6219b2b24f4 , Eventvwr , 事件查看器
https://www.evernote.com/shard/s21/nl/2425275/b541de60-735a-475f-be07-715f55078704 , Evernote , 
https://www.evernote.com/shard/s21/nl/2425275/6de5b4e8-0915-48b9-bbd3-d1d295c0ccaf , FENGYUANG , Windows Graphics Programming, Win32 GDI and DirectDraw - Feng Yuan 2000
https://www.evernote.com/shard/s21/nl/2425275/9027fb71-b5c0-49a8-b844-7546bcbd9b03 , FFmpeg , 
https://www.evernote.com/shard/s21/nl/2425275/60f84ac4-388e-442f-9747-d15d15f37ad3 , Fiddler , 
https://www.evernote.com/shard/s21/nl/2425275/33540000-5da8-40cb-b094-53d333fe483b , FONTS , 字体相关
https://www.evernote.com/shard/s21/nl/2425275/e514b880-4f2a-4b1b-95ae-889543441ba7 , GAFX8120 , AMD970+FX8120 台式机 , 机器实例
https://www.evernote.com/shard/s21/nl/2425275/c4f3cb6f-f9ff-4a29-969e-931cb9679dfb , GBChj-P35W , 机器实例
https://www.evernote.com/shard/s21/nl/2425275/268c580b-6016-4166-8e87-a8ba2773c607 , GDB , GNU debugger
https://www.evernote.com/shard/s21/nl/2425275/b1c9e992-0c29-45a1-a0d9-1f6eb91677ac , Git , 
https://www.evernote.com/shard/s21/nl/2425275/d56e6568-8101-4d27-88c9-6e7f6d600c95 , GMU , GnumakeUniproc
https://www.evernote.com/shard/s21/nl/2425275/52a1086f-251e-407e-b2cf-de815b639a70 , Handbrake , 
https://www.evernote.com/shard/s21/nl/2425275/6f3a3c9a-c6c8-4c67-abe8-ba5567b4a995 , hdisk , 硬盘
https://www.evernote.com/shard/s21/nl/2425275/88cd0469-7be3-4245-ac1b-6644432d4857 , HTMLCSS , 
https://www.evernote.com/shard/s21/nl/2425275/b8d347a4-dbdc-4833-a5eb-6bc3c085658f , HTMLDOM , 
https://www.evernote.com/shard/s21/nl/2425275/dfe011c6-02e9-4047-82cf-f9d21b3bae12 , HTTPx , HTTP 协议
https://www.evernote.com/shard/s21/nl/2425275/cea49e43-0939-4555-bea5-9ab71888a970 , InfoSec , 信息安全
https://www.evernote.com/shard/s21/nl/2425275/803cee5a-6ffb-443a-8840-f0de9805b4ba , INSCOM , Inside COM, Dale Rogerson 1997
https://www.evernote.com/shard/s21/nl/2425275/a6d83ecc-9248-4452-a254-65d8de2252f7 , ISO , ISO 国际标准
https://www.evernote.com/shard/s21/nl/2425275/1796e14d-54a5-47fc-9a9f-52822f8a9c87 , Krita , Photoshop 免费平替
https://www.evernote.com/shard/s21/nl/2425275/756db3fb-8b71-4731-a08e-9c17b1861c8f , KWF , Kerio Control
https://www.evernote.com/shard/s21/nl/2425275/f1cc9f41-9edd-4699-8397-13788748b470 , LDCOM , OReilly - Learning DCOM (1999)
https://www.evernote.com/shard/s21/nl/2425275/8ab63fea-b812-4f47-b85f-20b9ebf97079 , LinuxDev , Linux 开发收集帖
https://www.evernote.com/shard/s21/nl/2425275/a73019f6-e1ef-41cd-a2c4-1bf58b23729b , LinuxWeird , 各种 Linux 怪象
https://www.evernote.com/shard/s21/nl/2425275/4d24d7d2-af10-4885-9f6b-7420fd84e3d1 , MacDev , Apple/Mac/iOS 开发工具
https://www.evernote.com/shard/s21/nl/2425275/0ec4ab0c-99b2-4b9b-8b71-38c828c4054d , MidWare , 中间物
https://www.evernote.com/shard/s21/nl/2425275/a130bbdb-7d4e-498a-b4f4-84f712a62dc9 , MPC-HC , Media Player Classic
https://www.evernote.com/shard/s21/nl/2425275/d62cf3aa-cad3-4c93-9bec-f89d8ac3b15c , MSBUILD2 , Inside.the.Microsoft.Build.Engine.2nd.Edition.Dec.2010
https://www.evernote.com/shard/s21/nl/2425275/c07f9c0a-b536-4ecb-9254-2d422564da11 , MSBuild , 
https://www.evernote.com/shard/s21/nl/2425275/718144a8-3879-4a58-bddd-b689b2866e2e , MSCOM , 微软组件对象模型
https://www.evernote.com/shard/s21/nl/2425275/3ecebcff-e3bc-4cd8-b0ba-b8ca013386e3 , MSDNERR , MSDN errors
https://www.evernote.com/shard/s21/nl/2425275/78d5ee72-4ae9-4d05-8fbb-3549d4b653cf , MSDNview , MSDN 网页收集
https://www.evernote.com/shard/s21/nl/2425275/67ce244f-80c4-460e-bbd4-09b4f935aeac , MSFEEDBACK , 微软产品问题反馈
https://www.evernote.com/shard/s21/nl/2425275/a7f5797b-f464-41e7-9098-93f6d3286dd3 , MyNUCs , Intel NUC , 机器实例
https://www.evernote.com/shard/s21/nl/2425275/e3afc836-01d6-42f6-af62-fecfe9154339 , MYPCS , My PCs - 收集帖 , 机器实例
https://www.evernote.com/shard/s21/nl/2425275/c6dca407-074c-49ce-b797-2291325bea8b , MyPrg , 自写程序收集备忘
https://www.evernote.com/shard/s21/nl/2425275/7d2bfa22-fe88-4074-86fe-2a087ee97258 , MySnip , 自写函数库/代码片段
https://www.evernote.com/shard/s21/nl/2425275/2626ae56-a0eb-4c2a-97ae-8c331e8f581e , Naming , 起名难题
https://www.evernote.com/shard/s21/nl/2425275/bb772d1e-e18b-4451-87cb-28fc511ca0c8 , NLSBuildEnv , 绿色版编译器集合包
